Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.57.141-20.189.172.73-52465-443-6,192.168.57.141,52465.0,20.189.172.73,443.0,6.0,07/03/2025 04:16:53 PM,922315.0,8.0,9.0,1773.0,4986.0,810.0,0.0,221.625,322.7922540670924,1420.0,0.0,554.0,656.8675665611753,7328.298900050417,18.43188064815166,57644.68750000001,100637.64973787148,235009.0,0.0,916063.0,130866.14285714286,121626.83614431556,235070.0,197.0,698583.0,87322.875,117041.30973102432,236434.0,0.0,0.0,0.0,0.0,0.0,172.0,192.0,8.673826187365488,9.758054460786171,0.0,1420.0,375.5,531.277289956506,282255.55882352934,1.0,2.0,0.0,8.0,16.0,0.0,0.0,0.0,1.0,397.5882352941176,221.625,554.0,0.0,0.0,0.0,6759.0,11.0,9686.0,0.0,0.0,0.0,0.0,65535.0,16385.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.57.141-104.18.32.47-51834-443-6,192.168.57.141,51834.0,104.18.32.47,443.0,6.0,07/03/2025 04:14:39 PM,90185587.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0332647388545577,0.0665294777091155,18037117.4,24619050.82803629,45009232.0,54295.0,90131292.0,45065646.0,9609.58115632518,45072441.0,45058851.0,90129376.0,45064688.0,1641.9019459151634,45065849.0,45063527.0,0.0,0.0,0.0,0.0,60.0,96.0,0.0332647388545577,0.0332647388545577,0.0,1.0,0.5714285714285714,0.5345224838248487,0.2857142857142856,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,255.0,11.0,2.0,20.0,59710.0,4948.333254743459,63209.0,56211.0,45005936.0,4661.247901581722,45009232.0,45002640.0,BENIGN
192.168.57.141-74.248.74.117-49789-443-6,192.168.57.141,49789.0,74.248.74.117,443.0,6.0,07/03/2025 04:14:57 PM,119923436.0,7.0,2.0,189.0,78.0,50.0,0.0,27.0,25.553864678361272,39.0,39.0,39.0,0.0,2.2264205305124847,0.0750478830509826,14990429.5,20611931.427798435,39898115.0,42132.0,119923436.0,19987239.33333333,21793303.57795536,39898115.0,46292.0,40014572.0,40014572.0,0.0,40014572.0,40014572.0,1.0,0.0,0.0,0.0,140.0,40.0,0.0583705757063198,0.0166773073446628,0.0,50.0,30.6,21.65486858268444,468.9333333333333,0.0,0.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0,34.0,27.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,63.0,0.0,26.0,49156.0,49155.0,3.0,20.0,92782.0,41198.39524787343,124763.0,46292.0,39881696.66666666,14388.57436764787,39898115.0,39871283.0,BENIGN
192.168.57.141-150.171.28.10-52181-443-6,192.168.57.141,52181.0,150.171.28.10,443.0,6.0,07/03/2025 04:14:56 PM,90468062.0,15.0,14.0,6489.0,1539.0,1420.0,0.0,432.6000000000001,604.016532413287,1056.0,0.0,109.92857142857144,283.55476049222347,88.73849867591946,0.3205551147984136,3231002.214285714,11793006.106058218,45013304.0,0.0,90412934.0,6458066.714285715,16335384.354193345,45074902.0,0.0,90401028.0,6953925.23076923,16914732.165188286,45068432.0,0.0,0.0,0.0,0.0,0.0,312.0,316.0,0.1658043697233173,0.1547507450750962,0.0,1420.0,267.6000000000001,490.63559059511846,240723.28275862068,0.0,2.0,0.0,11.0,28.0,0.0,0.0,0.0,0.0,276.82758620689657,432.6,109.92857142857144,0.0,0.0,0.0,8026.0,14.0,29941.0,7.0,3244.0,7.0,769.0,65535.0,16385.0,11.0,20.0,221474.5,226099.5146047421,381351.0,61598.0,44984992.5,40038.50727112588,45013304.0,44956681.0,BENIGN
192.168.57.141-204.79.197.203-52192-443-6,192.168.57.141,52192.0,204.79.197.203,443.0,6.0,07/03/2025 04:14:56 PM,90661825.0,21.0,18.0,14131.0,1259.0,1420.0,0.0,672.9047619047619,659.8099654265541,776.0,0.0,69.94444444444444,189.95401060201613,169.75171192505778,0.4301700302194446,2385837.5000000005,10176334.02891246,45013910.0,0.0,90598125.0,4529906.25,13846155.74422758,45069897.0,0.0,90590847.0,5328873.352941176,14958278.721609436,45077610.0,0.0,0.0,0.0,0.0,0.0,432.0,396.0,0.2316300162720086,0.198540013947436,0.0,1420.0,384.75,577.2605841829858,333229.782051282,0.0,2.0,0.0,12.0,38.0,0.0,0.0,0.0,0.0,394.61538461538464,672.9047619047619,69.94444444444444,0.0,0.0,0.0,15388.0,20.0,34252.0,10.0,7065.0,9.0,629.0,65535.0,16383.0,17.0,20.0,310844.0,360422.2258657199,565701.0,55987.0,44988218.5,36333.267737708375,45013910.0,44962527.0,BENIGN
192.168.57.141-216.58.204.238-49787-443-17,192.168.57.141,49787.0,216.58.204.238,443.0,17.0,07/03/2025 04:14:59 PM,115051697.0,159.0,120.0,123681.0,40413.0,1250.0,30.0,777.8679245283018,563.012434527877,1250.0,23.0,336.77499999999986,426.7498128073314,1426.2631867133607,2.424996825557471,413855.02517985593,1694119.9024410704,12113948.0,0.0,114986933.0,727765.3987341771,2219629.3918302385,12189970.0,9.0,114975607.0,966181.5714285712,2521540.0109555647,12193273.0,0.0,0.0,0.0,0.0,0.0,1272.0,960.0,1.3819874382209243,1.0430093873365467,23.0,1250.0,589.2178571428573,552.445315773537,305195.8269201231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,591.3297491039426,777.8679245283018,336.775,0.0,0.0,0.0,9116.0,15.0,20648.0,9.0,7275.0,7.0,2377.0,0.0,0.0,158.0,8.0,1614944.9166666665,2599431.655972704,9121169.0,169954.0,7957099.166666667,2019579.211075724,12113948.0,5364110.0,BENIGN
192.168.57.141-13.74.129.1-52174-443-6,192.168.57.141,52174.0,13.74.129.1,443.0,6.0,07/03/2025 04:14:55 PM,91183867.0,22.0,19.0,12404.0,7507.0,1420.0,0.0,563.8181818181818,656.9434734227347,1420.0,0.0,395.1052631578948,583.6015473607583,218.36099581080487,0.4496409436112201,2279596.675,9921859.77974197,45007489.0,0.0,91090889.0,4337661.380952381,13527052.040516471,45090713.0,0.0,91090984.0,5060610.222222222,14564009.911567328,45100467.0,0.0,0.0,0.0,0.0,0.0,452.0,416.0,0.2412707502304108,0.2083701933808093,0.0,1420.0,474.0714285714286,619.0890787733588,383271.2874564461,0.0,2.0,0.0,12.0,40.0,0.0,0.0,0.0,0.0,485.6341463414634,563.8181818181819,395.10526315789474,0.0,0.0,0.0,19909.0,23.0,21947.0,11.0,6202.0,9.0,3753.0,65535.0,2052.0,15.0,20.0,562537.5,677851.6523285165,1041851.0,83224.0,44982907.0,34764.19779025542,45007489.0,44958325.0,BENIGN
192.168.57.141-192.168.57.205-52470-53-6,192.168.57.141,52470.0,192.168.57.205,53.0,6.0,07/03/2025 04:17:03 PM,158037.0,5.0,5.0,38.0,141.0,38.0,0.0,7.6,16.994116628998402,140.0,0.0,28.2,62.49959999871999,1132.6461524832791,63.27632136778096,17559.666666666668,33399.36523723168,98122.0,82.0,155029.0,38757.25,72499.03342976375,147495.0,1075.0,154753.0,38688.25,44409.092810481954,98122.0,3883.0,0.0,0.0,0.0,0.0,112.0,112.0,31.63816068389048,31.63816068389048,0.0,140.0,16.27272727272727,42.581899697150455,1813.218181818182,2.0,2.0,0.0,3.0,9.0,0.0,0.0,0.0,1.0,17.9,7.6,28.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65535.0,86.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.57.141-192.168.57.205-52471-53-6,192.168.57.141,52471.0,192.168.57.205,53.0,6.0,07/03/2025 04:17:03 PM,157695.0,5.0,5.0,38.0,168.0,38.0,0.0,7.6,16.994116628998402,167.0,0.0,33.6,74.574124198679,1306.3191604045785,63.41355147595041,17521.666666666668,33536.57311056095,97846.0,57.0,155176.0,38794.0,72356.27911476193,147300.0,299.0,153733.0,38433.25,44903.74998724123,97846.0,3459.0,0.0,0.0,0.0,0.0,112.0,112.0,31.706775737975207,31.706775737975207,0.0,167.0,18.72727272727273,50.47393566800772,2547.618181818182,2.0,2.0,0.0,3.0,9.0,0.0,0.0,0.0,1.0,20.6,7.6,33.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65535.0,86.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.57.141-20.42.73.27-52173-443-6,192.168.57.141,52173.0,20.42.73.27,443.0,6.0,07/03/2025 04:14:55 PM,92851565.0,107.0,71.0,119477.0,8899.0,1420.0,0.0,1116.6074766355136,524.3610623579495,1420.0,0.0,125.33802816901412,348.5894000380871,1382.5938205780378,1.9170382319350243,524585.1129943503,4766807.917108117,45015007.0,0.0,92694760.0,874478.8679245283,6156840.810225284,45162377.0,0.0,92697874.0,1324255.342857143,7572880.305111451,45171812.0,0.0,0.0,0.0,0.0,0.0,2152.0,1456.0,1.152376914702515,0.7646613172325099,0.0,1420.0,717.1843575418993,670.8465007877044,450035.0276191074,0.0,2.0,0.0,34.0,177.0,0.0,0.0,0.0,0.0,721.2134831460675,1116.607476635514,125.33802816901408,0.0,0.0,0.0,128374.0,110.0,54114.0,53.0,59738.0,35.0,4449.0,65535.0,16383.0,97.0,20.0,1361604.5,1717186.8978013138,2575839.0,147370.0,44985775.5,41339.583748509125,45015007.0,44956544.0,BENIGN
